100;100
55;7;93;4
87;82;3;91
5;17;59;40
55;26;74;64
9;48;29;84
69;88;83;65
55;53;4;19
64;82;15;3
8;44;59;24
83;56;35;86
74;29;94;19
29;49;14;82
62;95;74;59
15;39;49;73
14;68;89;27
2;98;73;9
66;79;55;32
62;12;93;36
17;57;37;78
42;36;12;66
81;58;98;9
93;92;65;30
72;70;62;83
52;49;71;58
30;4;75;20
65;90;2;24
16;57;61;33
13;29;38;28
54;8;96;56
82;41;60;34
31;32;97;81
85;8;3;78
30;78;59;88
82;75;74;88
38;62;26;20
66;39;36;91
15;93;73;83
5;66;24;68
80;73;70;51
58;51;43;1
40;37;44;50
74;72;71;45
41;5;74;85
66;83;96;2
79;93;1;1
40;29;68;43
89;82;11;49
7;1;66;16
5;10;40;33
21;31;97;24
12;2;36;48
68;37;48;56
96;47;32;72
53;4;43;34
22;8;85;87
